Mass (Solar Masses) | Distance (Units) | Information Density | QIR-HPC Correction
15.32 | 153.15 | 0.0306 | 7.048955
15.36 | 153.60 | 0.0307 | 7.055737
15.41 | 154.05 | 0.0308 | 7.062500
15.45 | 154.50 | 0.0309 | 7.069244
15.50 | 154.95 | 0.0310 | 7.075969
15.54 | 155.41 | 0.0311 | 7.082675
15.59 | 155.86 | 0.0312 | 7.089362
15.63 | 156.31 | 0.0313 | 7.096030
15.68 | 156.76 | 0.0314 | 7.102679
15.72 | 157.21 | 0.0314 | 7.109310
15.77 | 157.66 | 0.0315 | 7.115922
15.81 | 158.11 | 0.0316 | 7.122516
15.86 | 158.56 | 0.0317 | 7.129091
15.90 | 159.01 | 0.0318 | 7.135649
15.95 | 159.46 | 0.0319 | 7.142188
15.99 | 159.91 | 0.0320 | 7.148709
16.04 | 160.36 | 0.0321 | 7.155213
16.08 | 160.81 | 0.0322 | 7.161698
16.13 | 161.26 | 0.0323 | 7.168166
16.17 | 161.71 | 0.0323 | 7.174616
16.22 | 162.16 | 0.0324 | 7.181049
16.26 | 162.61 | 0.0325 | 7.187465
16.31 | 163.06 | 0.0326 | 7.193863
16.35 | 163.51 | 0.0327 | 7.200244
16.40 | 163.96 | 0.0328 | 7.206607
16.44 | 164.41 | 0.0329 | 7.212954
16.49 | 164.86 | 0.0330 | 7.219284
16.53 | 165.32 | 0.0331 | 7.225597
16.58 | 165.77 | 0.0332 | 7.231893
16.62 | 166.22 | 0.0332 | 7.238172
16.67 | 166.67 | 0.0333 | 7.244435
16.71 | 167.12 | 0.0334 | 7.250682
16.76 | 167.57 | 0.0335 | 7.256912
16.80 | 168.02 | 0.0336 | 7.263126
16.85 | 168.47 | 0.0337 | 7.269323
16.89 | 168.92 | 0.0338 | 7.275504
16.94 | 169.37 | 0.0339 | 7.281670
16.98 | 169.82 | 0.0340 | 7.287819
17.03 | 170.27 | 0.0341 | 7.293952
17.07 | 170.72 | 0.0341 | 7.300070
17.12 | 171.17 | 0.0342 | 7.306172
17.16 | 171.62 | 0.0343 | 7.312258
17.21 | 172.07 | 0.0344 | 7.318328
17.25 | 172.52 | 0.0345 | 7.324384
17.30 | 172.97 | 0.0346 | 7.330423
17.34 | 173.42 | 0.0347 | 7.336448
17.39 | 173.87 | 0.0348 | 7.342457
17.43 | 174.32 | 0.0349 | 7.348451
17.48 | 174.77 | 0.0350 | 7.354430
17.52 | 175.23 | 0.0350 | 7.360393
17.57 | 175.68 | 0.0351 | 7.366342
17.61 | 176.13 | 0.0352 | 7.372276
17.66 | 176.58 | 0.0353 | 7.378196
17.70 | 177.03 | 0.0354 | 7.384100
17.75 | 177.48 | 0.0355 | 7.389990
17.79 | 177.93 | 0.0356 | 7.395865
17.84 | 178.38 | 0.0357 | 7.401726
17.88 | 178.83 | 0.0358 | 7.407572
17.93 | 179.28 | 0.0359 | 7.413404
17.97 | 179.73 | 0.0359 | 7.419222
18.02 | 180.18 | 0.0360 | 7.425026
18.06 | 180.63 | 0.0361 | 7.430815
18.11 | 181.08 | 0.0362 | 7.436590
18.15 | 181.53 | 0.0363 | 7.442351
18.20 | 181.98 | 0.0364 | 7.448099
18.24 | 182.43 | 0.0365 | 7.453832
18.29 | 182.88 | 0.0366 | 7.459552
18.33 | 183.33 | 0.0367 | 7.465258
18.38 | 183.78 | 0.0368 | 7.470950
18.42 | 184.23 | 0.0368 | 7.476628
18.47 | 184.68 | 0.0369 | 7.482293
18.51 | 185.14 | 0.0370 | 7.487945
18.56 | 185.59 | 0.0371 | 7.493583
18.60 | 186.04 | 0.0372 | 7.499208
18.65 | 186.49 | 0.0373 | 7.504820
18.69 | 186.94 | 0.0374 | 7.510418
18.74 | 187.39 | 0.0375 | 7.516003
18.78 | 187.84 | 0.0376 | 7.521575
18.83 | 188.29 | 0.0377 | 7.527134
18.87 | 188.74 | 0.0377 | 7.532680
18.92 | 189.19 | 0.0378 | 7.538213
18.96 | 189.64 | 0.0379 | 7.543734
19.01 | 190.09 | 0.0380 | 7.549241
19.05 | 190.54 | 0.0381 | 7.554736
19.10 | 190.99 | 0.0382 | 7.560218
19.14 | 191.44 | 0.0383 | 7.565688
19.19 | 191.89 | 0.0384 | 7.571144
19.23 | 192.34 | 0.0385 | 7.576589
19.28 | 192.79 | 0.0386 | 7.582021
19.32 | 193.24 | 0.0386 | 7.587440
19.37 | 193.69 | 0.0387 | 7.592848
19.41 | 194.14 | 0.0388 | 7.598243
19.46 | 194.59 | 0.0389 | 7.603626
19.50 | 195.05 | 0.0390 | 7.608996
19.55 | 195.50 | 0.0391 | 7.614355
19.59 | 195.95 | 0.0392 | 7.619701
19.64 | 196.40 | 0.0393 | 7.625036
19.68 | 196.85 | 0.0394 | 7.630358
19.73 | 197.30 | 0.0395 | 7.635669
19.77 | 197.75 | 0.0395 | 7.640968
19.82 | 198.20 | 0.0396 | 7.646255
19.86 | 198.65 | 0.0397 | 7.651530
19.91 | 199.10 | 0.0398 | 7.656794
19.95 | 199.55 | 0.0399 | 7.662046
20.00 | 200.00 | 0.0400 | 7.667287
20.05 | 200.45 | 0.0401 | 7.672515
20.09 | 200.90 | 0.0402 | 7.677733
20.14 | 201.35 | 0.0403 | 7.682939
20.18 | 201.80 | 0.0404 | 7.688134
20.23 | 202.25 | 0.0405 | 7.693317
20.27 | 202.70 | 0.0405 | 7.698489
20.32 | 203.15 | 0.0406 | 7.703650
20.36 | 203.60 | 0.0407 | 7.708800
20.41 | 204.05 | 0.0408 | 7.713939
20.45 | 204.50 | 0.0409 | 7.719066
20.50 | 204.95 | 0.0410 | 7.724183
20.54 | 205.41 | 0.0411 | 7.729288
20.59 | 205.86 | 0.0412 | 7.734383
20.63 | 206.31 | 0.0413 | 7.739467
20.68 | 206.76 | 0.0414 | 7.744540
20.72 | 207.21 | 0.0414 | 7.749602
20.77 | 207.66 | 0.0415 | 7.754653
20.81 | 208.11 | 0.0416 | 7.759694
20.86 | 208.56 | 0.0417 | 7.764724
20.90 | 209.01 | 0.0418 | 7.769743
20.95 | 209.46 | 0.0419 | 7.774752
20.99 | 209.91 | 0.0420 | 7.779751
21.04 | 210.36 | 0.0421 | 7.784739
21.08 | 210.81 | 0.0422 | 7.789716
21.13 | 211.26 | 0.0423 | 7.794683
21.17 | 211.71 | 0.0423 | 7.799640
21.22 | 212.16 | 0.0424 | 7.804586
21.26 | 212.61 | 0.0425 | 7.809523
21.31 | 213.06 | 0.0426 | 7.814449
21.35 | 213.51 | 0.0427 | 7.819365
21.40 | 213.96 | 0.0428 | 7.824270
21.44 | 214.41 | 0.0429 | 7.829166
21.49 | 214.86 | 0.0430 | 7.834052
21.53 | 215.32 | 0.0431 | 7.838927
21.58 | 215.77 | 0.0432 | 7.843793
21.62 | 216.22 | 0.0432 | 7.848649
21.67 | 216.67 | 0.0433 | 7.853494
21.71 | 217.12 | 0.0434 | 7.858330
21.76 | 217.57 | 0.0435 | 7.863157
21.80 | 218.02 | 0.0436 | 7.867973
21.85 | 218.47 | 0.0437 | 7.872780
21.89 | 218.92 | 0.0438 | 7.877577
21.94 | 219.37 | 0.0439 | 7.882365
21.98 | 219.82 | 0.0440 | 7.887142
22.03 | 220.27 | 0.0441 | 7.891911
22.07 | 220.72 | 0.0441 | 7.896670
22.12 | 221.17 | 0.0442 | 7.901419
22.16 | 221.62 | 0.0443 | 7.906159
22.21 | 222.07 | 0.0444 | 7.910889
22.25 | 222.52 | 0.0445 | 7.915610
22.30 | 222.97 | 0.0446 | 7.920322
22.34 | 223.42 | 0.0447 | 7.925025
22.39 | 223.87 | 0.0448 | 7.929718
22.43 | 224.32 | 0.0449 | 7.934402
22.48 | 224.77 | 0.0450 | 7.939077
22.52 | 225.23 | 0.0450 | 7.943742
22.57 | 225.68 | 0.0451 | 7.948399
22.61 | 226.13 | 0.0452 | 7.953046
22.66 | 226.58 | 0.0453 | 7.957685
22.70 | 227.03 | 0.0454 | 7.962314
22.75 | 227.48 | 0.0455 | 7.966935
22.79 | 227.93 | 0.0456 | 7.971546
22.84 | 228.38 | 0.0457 | 7.976149
22.88 | 228.83 | 0.0458 | 7.980743
22.93 | 229.28 | 0.0459 | 7.985328
22.97 | 229.73 | 0.0459 | 7.989904
23.02 | 230.18 | 0.0460 | 7.994471
23.06 | 230.63 | 0.0461 | 7.999030
23.11 | 231.08 | 0.0462 | 8.003580
23.15 | 231.53 | 0.0463 | 8.008121
23.20 | 231.98 | 0.0464 | 8.012654
23.24 | 232.43 | 0.0465 | 8.017178
23.29 | 232.88 | 0.0466 | 8.021694
23.33 | 233.33 | 0.0467 | 8.026201
23.38 | 233.78 | 0.0468 | 8.030700
23.42 | 234.23 | 0.0468 | 8.035190
23.47 | 234.68 | 0.0469 | 8.039671
23.51 | 235.14 | 0.0470 | 8.044145
23.56 | 235.59 | 0.0471 | 8.048609
23.60 | 236.04 | 0.0472 | 8.053066
23.65 | 236.49 | 0.0473 | 8.057514
23.69 | 236.94 | 0.0474 | 8.061954
23.74 | 237.39 | 0.0475 | 8.066386
23.78 | 237.84 | 0.0476 | 8.070810
23.83 | 238.29 | 0.0477 | 8.075225
23.87 | 238.74 | 0.0477 | 8.079632
23.92 | 239.19 | 0.0478 | 8.084031
23.96 | 239.64 | 0.0479 | 8.088422
24.01 | 240.09 | 0.0480 | 8.092805
24.05 | 240.54 | 0.0481 | 8.097180
24.10 | 240.99 | 0.0482 | 8.101547
24.14 | 241.44 | 0.0483 | 8.105906
24.19 | 241.89 | 0.0484 | 8.110257
24.23 | 242.34 | 0.0485 | 8.114600
24.28 | 242.79 | 0.0486 | 8.118936
24.32 | 243.24 | 0.0486 | 8.123263
24.37 | 243.69 | 0.0487 | 8.127582
24.41 | 244.14 | 0.0488 | 8.131894
24.46 | 244.59 | 0.0489 | 8.136198
24.50 | 245.05 | 0.0490 | 8.140495
24.55 | 245.50 | 0.0491 | 8.144783
24.59 | 245.95 | 0.0492 | 8.149064
24.64 | 246.40 | 0.0493 | 8.153337
24.68 | 246.85 | 0.0494 | 8.157603
24.73 | 247.30 | 0.0495 | 8.161861
24.77 | 247.75 | 0.0495 | 8.166111
24.82 | 248.20 | 0.0496 | 8.170354
24.86 | 248.65 | 0.0497 | 8.174590
24.91 | 249.10 | 0.0498 | 8.178817
24.95 | 249.55 | 0.0499 | 8.183038
25.00 | 250.00 | 0.0500 | 8.187251
25.05 | 250.45 | 0.0501 | 8.191456
25.09 | 250.90 | 0.0502 | 8.195655
25.14 | 251.35 | 0.0503 | 8.199845
25.18 | 251.80 | 0.0504 | 8.204029
25.23 | 252.25 | 0.0505 | 8.208205
25.27 | 252.70 | 0.0505 | 8.212374
25.32 | 253.15 | 0.0506 | 8.216536
25.36 | 253.60 | 0.0507 | 8.220690
25.41 | 254.05 | 0.0508 | 8.224837
25.45 | 254.50 | 0.0509 | 8.228977
25.50 | 254.95 | 0.0510 | 8.233110
25.54 | 255.41 | 0.0511 | 8.237236
25.59 | 255.86 | 0.0512 | 8.241355
25.63 | 256.31 | 0.0513 | 8.245466
25.68 | 256.76 | 0.0514 | 8.249571
25.72 | 257.21 | 0.0514 | 8.253669
25.77 | 257.66 | 0.0515 | 8.257759
25.81 | 258.11 | 0.0516 | 8.261843
25.86 | 258.56 | 0.0517 | 8.265919
25.90 | 259.01 | 0.0518 | 8.269989
25.95 | 259.46 | 0.0519 | 8.274052
25.99 | 259.91 | 0.0520 | 8.278107
26.04 | 260.36 | 0.0521 | 8.282156
26.08 | 260.81 | 0.0522 | 8.286199
26.13 | 261.26 | 0.0523 | 8.290234
26.17 | 261.71 | 0.0523 | 8.294263
26.22 | 262.16 | 0.0524 | 8.298284
26.26 | 262.61 | 0.0525 | 8.302299
26.31 | 263.06 | 0.0526 | 8.306308
26.35 | 263.51 | 0.0527 | 8.310309
26.40 | 263.96 | 0.0528 | 8.314304
26.44 | 264.41 | 0.0529 | 8.318293
26.49 | 264.86 | 0.0530 | 8.322274
26.53 | 265.32 | 0.0531 | 8.326249
26.58 | 265.77 | 0.0532 | 8.330218
26.62 | 266.22 | 0.0532 | 8.334180
26.67 | 266.67 | 0.0533 | 8.338135
26.71 | 267.12 | 0.0534 | 8.342084
26.76 | 267.57 | 0.0535 | 8.346026
26.80 | 268.02 | 0.0536 | 8.349962
26.85 | 268.47 | 0.0537 | 8.353892
26.89 | 268.92 | 0.0538 | 8.357815
26.94 | 269.37 | 0.0539 | 8.361731
26.98 | 269.82 | 0.0540 | 8.365641
27.03 | 270.27 | 0.0541 | 8.369545
27.07 | 270.72 | 0.0541 | 8.373443
27.12 | 271.17 | 0.0542 | 8.377334
27.16 | 271.62 | 0.0543 | 8.381219
27.21 | 272.07 | 0.0544 | 8.385097
27.25 | 272.52 | 0.0545 | 8.388969
27.30 | 272.97 | 0.0546 | 8.392836
27.34 | 273.42 | 0.0547 | 8.396695
27.39 | 273.87 | 0.0548 | 8.400549
27.43 | 274.32 | 0.0549 | 8.404396
27.48 | 274.77 | 0.0550 | 8.408238
27.52 | 275.23 | 0.0550 | 8.412073
27.57 | 275.68 | 0.0551 | 8.415902
27.61 | 276.13 | 0.0552 | 8.419725
27.66 | 276.58 | 0.0553 | 8.423541
27.70 | 277.03 | 0.0554 | 8.427352
27.75 | 277.48 | 0.0555 | 8.431157
27.79 | 277.93 | 0.0556 | 8.434955
27.84 | 278.38 | 0.0557 | 8.438748
27.88 | 278.83 | 0.0558 | 8.442535
27.93 | 279.28 | 0.0559 | 8.446316
27.97 | 279.73 | 0.0559 | 8.450090
28.02 | 280.18 | 0.0560 | 8.453859
28.06 | 280.63 | 0.0561 | 8.457622
28.11 | 281.08 | 0.0562 | 8.461379
28.15 | 281.53 | 0.0563 | 8.465130
28.20 | 281.98 | 0.0564 | 8.468875
28.24 | 282.43 | 0.0565 | 8.472615
28.29 | 282.88 | 0.0566 | 8.476349
28.33 | 283.33 | 0.0567 | 8.480076
28.38 | 283.78 | 0.0568 | 8.483798
28.42 | 284.23 | 0.0568 | 8.487515
28.47 | 284.68 | 0.0569 | 8.491225
28.51 | 285.14 | 0.0570 | 8.494930
28.56 | 285.59 | 0.0571 | 8.498629
28.60 | 286.04 | 0.0572 | 8.502323
28.65 | 286.49 | 0.0573 | 8.506010
28.69 | 286.94 | 0.0574 | 8.509692
28.74 | 287.39 | 0.0575 | 8.513369
28.78 | 287.84 | 0.0576 | 8.517040
28.83 | 288.29 | 0.0577 | 8.520705
28.87 | 288.74 | 0.0577 | 8.524365
28.92 | 289.19 | 0.0578 | 8.528019
28.96 | 289.64 | 0.0579 | 8.531667
29.01 | 290.09 | 0.0580 | 8.535310
29.05 | 290.54 | 0.0581 | 8.538948
29.10 | 290.99 | 0.0582 | 8.542580
29.14 | 291.44 | 0.0583 | 8.546206
29.19 | 291.89 | 0.0584 | 8.549827
29.23 | 292.34 | 0.0585 | 8.553443
29.28 | 292.79 | 0.0586 | 8.557053
29.32 | 293.24 | 0.0586 | 8.560657
29.37 | 293.69 | 0.0587 | 8.564257
29.41 | 294.14 | 0.0588 | 8.567851
29.46 | 294.59 | 0.0589 | 8.571439
29.50 | 295.05 | 0.0590 | 8.575022
29.55 | 295.50 | 0.0591 | 8.578600
29.59 | 295.95 | 0.0592 | 8.582173
29.64 | 296.40 | 0.0593 | 8.585740
29.68 | 296.85 | 0.0594 | 8.589302
29.73 | 297.30 | 0.0595 | 8.592859
29.77 | 297.75 | 0.0595 | 8.596410
29.82 | 298.20 | 0.0596 | 8.599956
29.86 | 298.65 | 0.0597 | 8.603497
29.91 | 299.10 | 0.0598 | 8.607033
29.95 | 299.55 | 0.0599 | 8.610564
30.00 | 300.00 | 0.0600 | 8.614089
30.05 | 300.45 | 0.0601 | 8.617609
30.09 | 300.90 | 0.0602 | 8.621124
30.14 | 301.35 | 0.0603 | 8.624634
30.18 | 301.80 | 0.0604 | 8.628139
30.23 | 302.25 | 0.0605 | 8.631639
30.27 | 302.70 | 0.0605 | 8.635134
30.32 | 303.15 | 0.0606 | 8.638623
30.36 | 303.60 | 0.0607 | 8.642108
30.41 | 304.05 | 0.0608 | 8.645587
30.45 | 304.50 | 0.0609 | 8.649062
30.50 | 304.95 | 0.0610 | 8.652531
30.54 | 305.41 | 0.0611 | 8.655995
30.59 | 305.86 | 0.0612 | 8.659455
30.63 | 306.31 | 0.0613 | 8.662909
30.68 | 306.76 | 0.0614 | 8.666359
30.72 | 307.21 | 0.0614 | 8.669804
30.77 | 307.66 | 0.0615 | 8.673243
30.81 | 308.11 | 0.0616 | 8.676678
30.86 | 308.56 | 0.0617 | 8.680108
30.90 | 309.01 | 0.0618 | 8.683533
30.95 | 309.46 | 0.0619 | 8.686953
30.99 | 309.91 | 0.0620 | 8.690368
